House of Representatives Districts
Redistricting Analysis
Alabama - 1
Democrats	Republicans	Independents
8.0%	79.0%	13.0%
Alabama - 2
Democrats	Republicans	Independents
54.0%	35.0%	11.0%
Alabama - 3
Democrats	Republicans	Independents
22.0%	65.0%	13.0%
Alabama - 4
Democrats	Republicans	Independents
20.0%	67.0%	13.0%
Alabama - 5
Democrats	Republicans	Independents
46.0%	41.0%	13.0%
Alabama - 6
Democrats	Republicans	Independents
42.0%	45.0%	13.0%
Alaska - 1
Democrats	Republicans	Independents
36.0%	45.0%	19.0%
Arizona - 1
Democrats	Republicans	Independents
53.0%	29.0%	18.0%
Arizona - 2
Democrats	Republicans	Independents
32.0%	50.0%	18.0%
Arizona - 3
Democrats	Republicans	Independents
42.0%	40.0%	18.0%
Arizona - 4
Democrats	Republicans	Independents
51.6%	30.4%	18.0%
Arizona - 5
Democrats	Republicans	Independents
36.4%	45.6%	18.0%
Arizona - 6
Democrats	Republicans	Independents
44.0%	38.0%	18.0%
Arizona - 7
Democrats	Republicans	Independents
43.0%	39.0%	18.0%
Arizona - 8
Democrats	Republicans	Independents
35.0%	47.0%	18.0%
Arizona - 9
Democrats	Republicans	Independents
32.0%	50.0%	18.0%
Arizona - 10
Democrats	Republicans	Independents
42.0%	40.0%	18.0%
Arkansas - 1
Democrats	Republicans	Independents
21.0%	63.0%	16.0%
Arkansas - 2
Democrats	Republicans	Independents
34.0%	50.0%	16.0%
Arkansas - 3
Democrats	Republicans	Independents
25.0%	59.0%	16.0%
California - 1
Democrats	Republicans	Independents
34.0%	48.0%	18.0%
California - 2
Democrats	Republicans	Independents
65.0%	17.0%	18.0%
California - 3
Democrats	Republicans	Independents
41.0%	40.0%	19.0%
California - 4
Democrats	Republicans	Independents
58.0%	24.0%	18.0%
California - 5
Democrats	Republicans	Independents
37.0%	46.0%	17.0%
California - 6
Democrats	Republicans	Independents
54.0%	28.0%	18.0%
California - 7
Democrats	Republicans	Independents
56.0%	25.0%	19.0%
California - 8
Democrats	Republicans	Independents
60.0%	22.0%	18.0%
California - 9
Democrats	Republicans	Independents
52.0%	31.0%	17.0%
California - 10
Democrats	Republicans	Independents
61.0%	21.0%	18.0%
California - 11
Democrats	Republicans	Independents
65.0%	17.0%	18.0%
California - 12
Democrats	Republicans	Independents
62.0%	20.0%	18.0%
California - 13
Democrats	Republicans	Independents
42.0%	42.0%	16.0%
California - 14
Democrats	Republicans	Independents
60.0%	22.0%	18.0%
California - 15
Democrats	Republicans	Independents
72.0%	10.0%	18.0%
California - 16
Democrats	Republicans	Independents
67.0%	15.0%	18.0%
California - 17
Democrats	Republicans	Independents
69.0%	13.0%	18.0%
California - 18
Democrats	Republicans	Independents
63.0%	19.0%	18.0%
California - 19
Democrats	Republicans	Independents
62.0%	20.0%	18.0%
California - 20
Democrats	Republicans	Independents
37.0%	46.0%	17.0%
California - 21
Democrats	Republicans	Independents
42.0%	40.0%	18.0%
California - 22
Democrats	Republicans	Independents
37.0%	46.0%	17.0%
California - 23
Democrats	Republicans	Independents
37.0%	46.0%	17.0%
California - 24
Democrats	Republicans	Independents
53.0%	29.0%	18.0%
California - 25
Democrats	Republicans	Independents
40.0%	42.0%	18.0%
California - 26
Democrats	Republicans	Independents
60.0%	22.0%	18.0%
California - 27
Democrats	Republicans	Independents
62.0%	20.0%	18.0%
California - 28
Democrats	Republicans	Independents
62.0%	20.0%	18.0%
California - 29
Democrats	Republicans	Independents
63.0%	19.0%	18.0%
California - 30
Democrats	Republicans	Independents
54.0%	28.0%	18.0%
California - 31
Democrats	Republicans	Independents
63.0%	19.0%	18.0%
California - 32
Democrats	Republicans	Independents
60.0%	22.0%	18.0%
California - 33
Democrats	Republicans	Independents
39.0%	46.0%	15.0%
California - 34
Democrats	Republicans	Independents
56.0%	26.0%	18.0%
California - 35
Democrats	Republicans	Independents
57.0%	25.0%	18.0%
California - 36
Democrats	Republicans	Independents
63.0%	19.0%	18.0%
California - 37
Democrats	Republicans	Independents
49.0%	33.0%	18.0%
California - 38
Democrats	Republicans	Independents
59.0%	23.0%	18.0%
California - 39
Democrats	Republicans	Independents
40.0%	44.0%	16.0%
California - 40
Democrats	Republicans	Independents
45.0%	37.0%	18.0%
California - 41
Democrats	Republicans	Independents
42.0%	41.0%	17.0%
California - 42
Democrats	Republicans	Independents
61.0%	21.0%	18.0%
California - 43
Democrats	Republicans	Independents
64.0%	18.0%	18.0%
California - 44
Democrats	Republicans	Independents
55.0%	27.0%	18.0%
California - 45
Democrats	Republicans	Independents
59.0%	23.0%	18.0%
